Country,Code,ContinentCode,Year,Gini income inequality index,Poverty percent of population,Poverty ratio percent living on less than 1.90 USD a day,Poverty ratio percent living on less than 5.50 USD a day,Percent income earned by the top 10 percent of earners
Afghanistan,AFG,AS,2007,,33.7,,,
Afghanistan,AFG,AS,2011,,38.3,,,
Afghanistan,AFG,AS,2016,,54.5,,,
Albania,ALB,EU,1996,27,,0.5,47.9,20.7
Albania,ALB,EU,2002,31.7,25.4,1.1,52.1,25.3
Albania,ALB,EU,2005,30.6,18.5,0.6,40.4,24.3
Albania,ALB,EU,2008,30,,0.2,33.4,24.4
Albania,ALB,EU,2012,29,,0.6,36.7,22.9
Albania,ALB,EU,2014,34.6,,1,38.7,25.5
Albania,ALB,EU,2015,32.8,,0.1,25.4,24.8
Albania,ALB,EU,2016,33.7,23.7,0.1,25.5,25
Albania,ALB,EU,2017,33.1,23.4,0.4,25.5,24.6
Albania,ALB,EU,2018,30.1,23,0,18.2,22.7
Albania,ALB,EU,2019,30.1,21.8,0,14.9,23.6
Albania,ALB,EU,2020,29.4,22,0,13.7,22.8
Algeria,DZA,AF,1988,37.4,,6.4,63.6,29.6
Algeria,DZA,AF,1995,35.3,,6.1,61.1,26.9
Algeria,DZA,AF,2011,27.6,5.5,0,36.3,22.9
Angola,AGO,AF,2000,51.9,,21.4,67.2,40.2
Angola,AGO,AF,2008,42.7,,14.6,68.9,32.3
Angola,AGO,AF,2018,51.3,32.3,31.1,78,39.6
Argentina,ARG,SA,1980,40.8,,0,5.7,30.2
Argentina,ARG,SA,1986,42.8,,1.1,4.8,32.2
Argentina,ARG,SA,1987,45.3,,1.2,7.6,34.2
Argentina,ARG,SA,1991,46.8,,1,14.3,36.6
Argentina,ARG,SA,1992,45.5,,1.7,14.9,34.3
Argentina,ARG,SA,1993,44.8,,2,15.1,33.2
Argentina,ARG,SA,1994,45.9,,1.9,15.7,34.4
Argentina,ARG,SA,1995,48.9,,3.9,20.5,37
Argentina,ARG,SA,1996,49.5,,4.2,22.4,36.9
Argentina,ARG,SA,1997,49.1,,3.8,21.3,36.4
Argentina,ARG,SA,1998,50.7,,4,23.3,38
Argentina,ARG,SA,1999,49.8,,4.2,24.2,37
Argentina,ARG,SA,2000,51,,5,26.3,37.7
Argentina,ARG,SA,2001,53.3,,8.2,31.1,39.5
Argentina,ARG,SA,2002,53.8,,12.4,44.4,40.5
Argentina,ARG,SA,2003,51,,5.4,29.7,37.7
Argentina,ARG,SA,2004,48.5,,3.9,24.9,35.3
Argentina,ARG,SA,2005,47.8,,2.7,21,35
Argentina,ARG,SA,2006,46.4,,2.2,16.9,33.8
Argentina,ARG,SA,2007,46.3,,1.8,15.6,33.7
Argentina,ARG,SA,2008,45,,1.6,14.2,32.5
Argentina,ARG,SA,2009,43.8,,1.6,12.9,31.3
Argentina,ARG,SA,2010,43.7,,0.7,11.4,31.8
Argentina,ARG,SA,2011,42.7,,0.7,9.1,31
Argentina,ARG,SA,2012,41.4,,0.6,8.6,29.8
Argentina,ARG,SA,2013,41.1,,0.7,8.6,29.5
Argentina,ARG,SA,2014,41.8,,0.6,9.5,30.1
Argentina,ARG,SA,2016,42.3,30.3,0.7,9.2,30.7
Argentina,ARG,SA,2017,41.4,25.7,0.6,8.2,30
Argentina,ARG,SA,2018,41.7,32,1,10.4,30.1
Argentina,ARG,SA,2019,43.3,35.5,1.1,12,31.3
Argentina,ARG,SA,2020,42.7,42,1.2,15.4,30.6
Argentina,ARG,SA,2021,42.4,37.3,0.9,11.4,31.2
Argentina,ARG,SA,2022,40.7,39.2,0.6,10.9,29.8
Armenia,ARM,AS,1999,36.2,,11.9,82.3,29.6
Armenia,ARM,AS,2001,35.4,,14,83.8,29.1
Armenia,ARM,AS,2002,34.8,,10,82.9,29
Armenia,ARM,AS,2003,33,,7.5,82.6,28.2
Armenia,ARM,AS,2004,37.5,,5.3,73.5,31.7
Armenia,ARM,AS,2005,36,,2.6,67.5,30.8
Armenia,ARM,AS,2006,29.7,,2,62.8,24.4
Armenia,ARM,AS,2007,31.2,,1.5,56,25.1
Armenia,ARM,AS,2008,29.2,,0.9,52.1,23.7
Armenia,ARM,AS,2009,28,,1.2,60.7,22.9
Armenia,ARM,AS,2010,30,,1,62.1,25
Armenia,ARM,AS,2011,29.4,,1.2,59.3,24
Armenia,ARM,AS,2012,29.6,,0.8,55.2,24.5
Armenia,ARM,AS,2013,30.6,,1.7,53.1,24.7
Armenia,ARM,AS,2014,31.5,,1.4,51.1,25.7
Armenia,ARM,AS,2015,32.4,,1.1,46.7,26.7
Armenia,ARM,AS,2016,32.5,,1.1,42.4,25.3
Armenia,ARM,AS,2017,33.6,,0.8,48.7,28.4
Armenia,ARM,AS,2018,34.4,,1.3,48.9,29.2
Armenia,ARM,AS,2019,30,26.4,1,52.1,25.2
