Country,Code,ContinentCode,Year,Cost of living index world average = 100,Food price index world average = 100,Fruit price index world average = 100,Vegetable price index world average = 100,Bread and cereal prices world average = 100,Milk cheese and eggs price index world average = 100,Meat price index world average = 100,Fish and seafood prices world average = 100,Alcohol beverage price index world average = 100,Clothing and footwear prices world average = 100,Housing and utilities price index world average  = 100,Furniture and household maintenance prices world average = 100,Healthcare price index world average = 100,Transport prices world average = 100,Hotel and restaurant price index world average = 100,Vehicle prices world average = 100,Communication price index world average = 100,Recreation and culture price index world average = 100,Education service price index world average = 100,Machinery and equipment prices world average = 100
Albania,ALB,EU,2017,60.79,81.51,82.59,72.08,78.6,87.03,83.05,111.37,83.85,105.12,49.965,83.72,24.17,95.5,50.78,85.47,108.62,56.64,16.96,86.72
Albania,ALB,EU,2021,65.32,96.89,102.66,99.16,95.4,105.8,87.6,117.2,102,115.43,63.74,104.08,37.53,111.73,61.96,112.08,134.35,67.28,21.85,89.25
Algeria,DZA,AF,2017,49.36,84.511,82.09,96.18,64.65,73.09,121.76,140.53,106,67.86,26.374,42.11,33.2,44.22,33.93,113.96,72.35,47.04,29.26,122.17
Algeria,DZA,AF,2021,41.94,72.3,86.25,70.37,55.83,65.81,92.09,133.31,90.52,67.11,23.5,40.3,29.73,36.34,33.64,88.78,71.73,43.22,26.94,92.17
Angola,AGO,AF,2017,92.68,166.187,141.8,209.27,186.65,186.75,128.18,185.81,108.63,81.32,46.683,92.76,81.24,95.87,79.22,163.86,186.2,77.13,39.58,192.26
Angola,AGO,AF,2021,45.68,86.43,63.62,89.45,108.55,108.18,59.79,87.36,65.75,46.35,32.52,44.05,30.61,38.49,41.78,79.85,73.09,36.42,16.05,66.5
Antigua and Barbuda,ATG,NA,2017,131.03,168.613,339.87,318.68,143.93,188.47,112.49,139.36,181.22,93.19,110.028,130,95.32,140.48,105.93,162.28,170.3,118.38,87.41,166.03
Antigua and Barbuda,ATG,NA,2021,111.24,161.12,288.59,302.6,166.52,175.1,88.32,162.81,117.33,123.7,97.8,126.97,106.72,126.14,91.07,157.31,161.47,109.19,50.84,133.74
Argentina,ARG,SA,2017,93.54,122.409,139.56,160.13,136.98,142.74,84.52,162.49,101.2,144.01,84.004,86.25,67.49,101.83,89.24,105.57,105.52,101.92,71.42,164.11
Argentina,ARG,SA,2021,61.38,81.66,99.96,91.9,95,102.04,61.71,94.49,75.71,144.92,38.33,88.38,41.3,79.78,77.2,99.81,91.49,78.34,39.75,119.11
Armenia,ARM,AS,2017,49.68,76.102,92.45,80.92,65.54,90.58,86.96,80.74,50,94.91,27.374,81.64,33.24,64.05,68.35,57.79,38.79,63.33,14.11,91.34
Armenia,ARM,AS,2021,44.7,73.48,72.84,70.43,71.08,89.63,71.43,67.33,80.84,91.68,27.8,71.96,27.26,62.16,53.12,79.78,54.47,53.75,20.6,89.2
Aruba,ABW,NA,2017,118.56,148.766,174.7,226.43,162.13,153.35,108.58,146.45,200.32,120.78,94.679,114.99,106.78,114.71,96.84,114.59,196.37,102.95,110.84,93.71
Aruba,ABW,NA,2021,122.22,170.96,230.1,287.94,160.63,240.01,103.49,152.19,211.58,115.82,107.07,114.09,111.4,114.41,104.07,108.75,186.33,104.84,98.64,91.1
Australia,AUS,OC,2017,168.02,153.54,146.44,208.06,173.38,144.57,140.67,163.18,184.6,129.27,257.057,130.79,163.44,132.55,161.57,95.54,138.72,129.86,205.51,110
Australia,AUS,OC,2021,177.41,148.5,170.95,207.17,158.47,152.11,127.65,146.71,204.76,115.21,257.5,128.34,194.03,135.96,187.47,99.03,115.1,132.15,207.03,109.24
Austria,AUT,EU,2017,134.56,144.994,153.6,175.08,158.8,104.69,179.24,192.78,89.61,132.19,150.281,126.51,136.98,143.7,132.87,110.51,95.98,126.38,205.98,96.18
Austria,AUT,EU,2021,139.5,128.42,122.95,168.21,139.45,97.37,143.48,174.65,70.3,135.14,159.33,127.87,146.59,152.84,138.32,116.67,122.66,126.55,194.24,94.02
